,company,location,position,experience,Experience_min,Experience_max,skill_1,skill_2,skill_3,skill_4,skill_5,skill_6,skill_7,skill_8,skill_9,skill_10,skill_11,skill_12,skill_13,skill_14,skill_15,skill_16,skill_17,skill_18,skill_19,skill_20,skill_21,skill_22,skill_23,skill_24,skill_25,skill_26,skill_27,skill_28
99,QuEST Global Engineering Pvt Ltd,Bengaluru / Bangalore,Python Developer,5 - 8,5,8,docker  ,  debugging  ,  api  ,  python  ,  cloud services  ,  tornado  ,  problem solving  ,  django  ,  sql database,,,,,,,,,,,,,,,,,,,
100,v support solutions,Chennai,Python Developer,2 - 5,2,5,rest  ,  python  ,  natural language processing  ,  django  ,  debugging  ,  mysql  ,  software developer  ,  mongodb  ,  soap,,,,,,,,,,,,,,,,,,,
101,Blocklogy Edutech Private limited,Navi Mumbai,Python Trainer,1 - 3,1,3,python  ,  c    ,  c  ,  natural language processing  ,  scala  ,  data mining  ,  machine learning  ,  artificial intelligence  ,  pattern recognition,,,,,,,,,,,,,,,,,,,
102,ceredox technologies,Hyderabad/Secunderabad,Python Developer,2 - 5,2,5,fundamentals  ,  algorithms  ,  python  ,  rest api  ,  information retrieval  ,  docker  ,  react.js  ,  django  ,  git  ,  json  ,  data structures,,,,,,,,,,,,,,,,,
103,botree technologies,Ahmedabad,Python Developers,3 - 6,3,6,security compliance  ,  python  ,  html5  ,  svn  ,  javascript  ,  database  ,  django  ,  git  ,  web developer  ,  debugging,,,,,,,,,,,,,,,,,,
104,vConstruct Pvt Ltd,Pune,Python Developer,1 - 3,1,3,html5  ,  security  ,  testing tools  ,  debugging  ,  python  ,  problem solving  ,  javascript  ,  django  ,  project delivery,,,,,,,,,,,,,,,,,,,
105,Root Info Solutions,"Delhi,  Delhi/NCR",Python Developer,2 - 5,2,5,rest  ,  python  ,  css  ,  rest api  ,  javascript  ,  oop  ,  django  ,  postgresql  ,  html  ,  mysql,,,,,,,,,,,,,,,,,,
106,Pattem Digital Technologies,Bengaluru / Bangalore,Python Developer,3 - 6,3,6,algorithms  ,  linux scripting  ,  oop  ,  devops  ,  web developer  ,  linux  ,  mysql  ,  data structures  ,  shell scripting  ,  api  ,  rest  ,  python  ,  machine learning,,,,,,,,,,,,,,,
107,KTree Computer Solutions India  ( P )  Ltd,Hyderabad/Secunderabad,Python Developer,10 - 13,1, ,css  ,  sql  ,  git  ,  xml  ,  mysql  ,  html  ,  rest  ,  python  ,  perl scripting  ,  mobile  ,  openerp  ,  javascript  ,  django  ,  unix  /  linux  ,  software developer  ,  soap,,,,,,,,,,,,
108,Gemini Solutions,Gurgaon,Python Developer,3 - 6,3,6,algorithms  ,  database  ,  senior software developer  ,  shell scripting  ,  object oriented programming  ,  python  ,  team player  ,  machine learning  ,  django  ,  unix  /  linux,,,,,,,,,,,,,,,,,,
109,AGILE Infoways Pvt. Ltd.,Ahmedabad,Python Developer,1 - 2,1,2,python  ,  database  ,  django  ,  git  ,  html5  ,  mysql  ,  mvc  ,  machine learning  ,  javascript,,,,,,,,,,,,,,,,,,,
110,APPLYCUP HIRING SOLUTIONS LLP,Ahmedabad,Python Developer,2 - 6,2,6,python  ,  html5  ,  svn  ,  storage  ,  javascript  ,  database  ,  django  ,  git  ,  debugging  ,  api,,,,,,,,,,,,,,,,,,
111,Veeva Systems,,Python Engineer,3 - 6,3,6,css  ,  database  ,  postgresql  ,  debugging  ,  html  ,  mysql  ,  rest  ,  san  ,  python  ,  javascript  ,  django  ,  forms,,,,,,,,,,,,,,,,
112,ADROIT LEARNING AND MANPOWER PVT LTD,Ahmedabad,Python Developer,0 - 5,0,5,rest api  ,  sql  ,  database  ,  security  ,  devops  ,  rest  ,  python  ,  tornado  ,  javascript  ,  django  ,  infrastructure,,,,,,,,,,,,,,,,,
113,aspirebit technolab pvt ltd,Surat,Python Developer,0 - 3,0,3,security compliance  ,  python  ,  html5  ,  mobile  ,  svn  ,  storage  ,  javascript  ,  security  ,  database  ,  django  ,  git  ,  debugging,,,,,,,,,,,,,,,,
114,MUVI.com,Bhubaneshwar,Python Developers,3 - 6,3,6,css  ,  ajax  ,  jquery  ,  security  ,  xml  ,  json  ,  html  ,  api  ,  big data  ,  rest  ,  python  ,  javascript,,,,,,,,,,,,,,,,
115,spark eighteen,"Delhi,  Delhi/NCR",Python Developer,0 - 3,0,3,security compliance  ,  html5  ,  storage  ,  security  ,  database  ,  debugging  ,  rest  ,  python  ,  mobile  ,  problem solving  ,  javascript  ,  django  ,  infrastructure,,,,,,,,,,,,,,,
116,APPLYCUP HIRING SOLUTIONS LLP,Pune,Python Developer,5 - 10,5,1,security compliance  ,  python  ,  html5  ,  mobile  ,  svn  ,  javascript  ,  database  ,  django  ,  git  ,  debugging,,,,,,,,,,,,,,,,,,
117,APPLYCUP HIRING SOLUTIONS LLP,Surat,Python Developer,3 - 8,3,8,security compliance  ,  html5  ,  storage  ,  telecommunication  ,  security  ,  database  ,  git  ,  debugging  ,  python  ,  mobile  ,  svn  ,  javascript  ,  django,,,,,,,,,,,,,,,
118,APPLYCUP HIRING SOLUTIONS LLP,"Delhi,  Delhi/NCR",Python Developer,2 - 6,2,6,html5  ,  ajax  ,  database  ,  xpath  ,  git  ,  postgresql  ,  xml  ,  json  ,  perl  ,  api  ,  mongodb  ,  python  ,  cloud services  ,  javascript  ,  ruby  ,  nosql  ,  django  ,  couchdb  ,  soap,,,,,,,,,
119,Infiniti Software Solutions,Chennai,Python Developer,2 - 5,2,5,python  ,  rest api  ,  svn  ,  security  ,  database  ,  django  ,  git  ,  infrastructure  ,  php  ,  mysql,,,,,,,,,,,,,,,,,,
120,Maximus Human Resources Pvt Ltd.,Bengaluru / Bangalore,Python Developer,2 - 3,2,3,python  ,  github  ,  mobile  ,  postgresql  ,  oops  ,  debugging  ,  data structures  ,  mysql  ,  website development  ,  api,,,,,,,,,,,,,,,,,,
121,Veeva Systems,Spain,Python Engineer,3 - 6,3,6,css  ,  database  ,  postgresql  ,  debugging  ,  html  ,  mysql  ,  rest  ,  san  ,  python  ,  javascript  ,  django  ,  forms,,,,,,,,,,,,,,,,
122,geekyworks,Pune,Python Developer,2 - 3,2,3,html5  ,  bootstrap  ,  ajax  ,  git  ,  apache  ,  xml  ,  debugging  ,  mysql  ,  api  ,  rest  ,  python  ,  nosql  ,  django,,,,,,,,,,,,,,,
123,novigo solutions pvt ltd,"Mangalore,  Bengaluru / Bangalore",Python Developer,3 - 6,3,6,fundamentals  ,  python  ,  sql  ,  system analysis  ,  database  ,  xml  ,  json  ,  software engineer  ,  api  ,  soap,,,,,,,,,,,,,,,,,,
124,online productivity solutions pvt. ltd.,Panjim/Panaji,Python Developer,0 - 3,0,3,rest  ,  python  ,  rdbms  ,  problem solving  ,  visual source safe  ,  web based applications  ,  django  ,  git  ,  web development,,,,,,,,,,,,,,,,,,,
